Yash Chemex,http://www.moneycontrol.com/india/stockpricequote/chemicals/yashchemex/YC01
Yash Manage,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/yashmanagementfinancialservices/YMF
Yash Papers,http://www.moneycontrol.com/india/stockpricequote/paper/yashpapers/YP01
Yash Trading,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/yashtradingfinance/YTF
Yasho Industrie,http://www.moneycontrol.com/india/stockpricequote/chemicals/yashoindustriesltd/YIL01
Yashraj Contain,http://www.moneycontrol.com/india/stockpricequote/packaging/yashrajcontaineurs/YC
Yenepoya Minera,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/yenepoyamineralsgranites/YMG
Yes Bank,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/yesbank/YB
YKM Industries,http://www.moneycontrol.com/india/stockpricequote/aquaculture/ykmindustries/SEL08
Yogi Pharmacy,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/yogipharmacy/YP02
Yogi Polyesters,http://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/yogipolyesters/YP03
Yogi-Sung-Won,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/yogisungwonindia/YSW
Yogindera,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/yoginderaworsted/YW
Yogya Enter,http://www.moneycontrol.com/india/stockpricequote/trading/yogyaenterprises/YE01
Yokogawa India,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/yokogawaindia/YI02
York Exports,http://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/yorkexports/YE
YS Porcelain,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/ysporcelaintubesindia/YSP
Yug Decor,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/yugdecor/YD
Yuken India,http://www.moneycontrol.com/india/stockpricequote/pumps/yukenindia/YI
Yule Financing,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/yulefinancingleasingcompany/YFL
Yuranus Infra,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/yuranusinfrastructure/YI03
Yuvraaj Hygiene,http://www.moneycontrol.com/india/stockpricequote/engineering/yuvraajhygieneproducts/IAS
Yuvraj Intl,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/yuvrajinternational/YI01
Waa Solar,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/waasolar/WS03
WABCO India,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/wabcoindia/WAB
Wadala,http://www.moneycontrol.com/india/stockpricequote/trading/wadalacommodities/WC02
Wagend Infra,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/wagendinfraventure/AH02
Walchand People,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/walchandpeoplefirst/WP02
Walchandnagar,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/walchandnagarindustries/WI01
Wall Street Fin,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/wallstreetfinance/WSF
